SOURCE	TARGET
1	2
1	3
1	4
2	3
2	4
3	4
5	3
5	2
5	4
6	4
6	3
6	5
7	5
7	6
7	3
8	6
8	4
8	7
9	5
9	2
9	6
10	6
10	7
10	9
11	1
11	6
11	10
12	10
12	3
12	4
13	9
13	8
13	7
14	6
14	10
14	11
15	9
15	10
15	14
16	3
16	9
16	10
17	11
17	1
17	7
18	7
18	5
18	8
19	4
19	10
19	14
20	19
20	17
20	15
21	20
21	12
21	18
22	6
22	14
22	21
23	22
23	7
23	12
24	16
24	22
24	4
25	23
25	18
25	16
26	18
26	12
26	25
27	18
27	22
27	24
28	4
28	14
28	23
29	2
29	25
29	28
30	23
30	19
30	28
31	21
31	30
31	23
32	31
32	28
32	27
33	30
33	25
33	31
34	18
34	11
34	29
35	18
35	13
35	27
36	34
36	24
36	35
37	24
37	31
37	28
38	30
38	31
38	24
39	30
39	35
39	17
40	20
40	38
40	22
41	20
41	14
41	38
42	32
42	20
42	18
43	34
43	27
43	42
44	24
44	39
44	37
45	24
45	25
45	37
46	40
46	41
46	22
47	43
47	22
47	42
48	39
48	35
48	45
49	42
49	26
49	17
50	25
50	39
50	45
51	43
51	42
51	49
52	21
52	40
52	23
53	26
53	31
53	45
54	46
54	18
54	38
55	40
55	47
55	50
56	39
56	19
56	53
57	49
57	52
57	40
58	50
58	36
58	34
59	29
59	47
59	52
60	53
60	47
60	25
61	59
61	56
61	40
62	42
62	55
62	43
63	34
63	61
63	38
64	52
64	41
64	34
65	24
65	35
65	51
66	43
66	24
66	32
67	61
67	65
67	20
68	58
68	41
68	53
69	58
69	57
69	47
70	40
70	50
70	68
71	66
71	62
71	51
72	62
72	19
72	66
73	28
73	47
73	26
74	27
74	73
74	70
75	74
75	21
75	38
76	46
76	32
76	14
77	50
77	73
77	75
78	62
78	43
78	72
79	75
79	70
79	31
80	18
80	61
80	45
81	48
81	18
81	73
82	58
82	22
82	50
83	74
83	14
83	70
84	78
84	73
84	80
85	69
85	31
85	54
86	57
86	41
86	59
87	58
87	54
87	82
88	36
88	67
88	14
89	45
89	63
89	58
90	56
90	64
90	57
91	56
91	83
91	72
92	42
92	67
92	41
93	78
93	51
93	58
94	71
94	80
94	29
95	56
95	51
95	53
96	74
96	32
96	67
97	21
97	50
97	53
98	29
98	74
98	94
99	88
99	61
99	96
100	83
100	71
100	74
101	95
101	92
101	86
102	98
102	79
102	73
103	64
103	98
103	50
104	53
104	59
104	102
105	103
105	98
105	47
106	93
106	84
106	65
107	58
107	94
107	97
108	50
108	105
108	49
109	108
109	96
109	79
110	37
110	26
110	106
111	62
111	110
111	89
112	59
112	50
112	26
113	111
113	88
113	105
114	48
114	15
114	65
115	105
115	93
115	106
116	63
116	40
116	55
117	81
117	105
117	101
118	91
118	107
118	108
119	62
119	107
119	108
120	90
120	54
120	48
121	77
121	84
121	45
122	35
122	98
122	74
123	66
123	73
123	91
124	34
124	80
124	113
125	39
125	78
125	54
126	82
126	64
126	97
127	63
127	106
127	62
128	117
128	108
128	39
129	92
129	72
129	74
130	74
130	45
130	58
131	127
131	116
131	88
132	113
132	129
132	63
133	112
133	110
133	77
134	76
134	50
134	98
135	105
135	93
135	118
136	117
136	104
136	129
137	117
137	122
137	121
138	107
138	81
138	118
139	53
139	91
139	117
140	99
140	101
140	90
141	65
141	56
141	94
142	132
142	125
142	87
143	51
143	99
143	128
144	103
144	87
144	101
145	108
145	80
145	90
146	82
146	74
146	122
147	83
147	64
