SOURCE	TARGET
1	2
1	3
1	4
2	3
2	4
3	4
5	1
5	4
5	3
6	3
6	2
6	1
7	1
7	3
7	2
8	1
8	3
8	2
9	4
9	1
9	7
10	1
10	7
10	8
11	3
11	2
11	8
12	1
12	2
12	9
13	1
13	8
13	11
14	1
14	2
14	11
15	4
15	5
15	12
16	1
16	11
16	5
17	4
17	1
17	5
18	1
18	2
18	12
19	3
19	11
19	12
20	4
20	16
20	11
21	11
21	14
21	9
22	7
22	15
22	6
23	2
23	4
23	3
24	4
24	17
24	5
25	14
25	11
25	18
26	14
26	11
26	1
27	11
27	4
27	1
28	1
28	18
28	26
29	3
29	2
29	1
30	15
30	2
30	3
31	14
31	30
31	4
32	27
32	19
32	2
33	11
33	14
33	2
34	29
34	22
34	11
35	10
35	11
35	5
36	4
36	33
36	5
37	25
37	5
37	14
38	3
38	10
38	5
39	5
39	1
39	25
40	19
40	20
40	28
41	3
41	11
41	15
42	25
42	11
42	16
43	8
43	19
43	11
44	26
44	6
44	4
45	30
45	13
45	8
46	25
46	7
46	8
47	14
47	1
47	15
48	2
48	6
48	15
49	2
49	21
49	8
50	4
50	11
50	44
51	7
51	27
51	8
52	15
52	3
52	8
53	48
53	27
53	2
54	4
54	11
54	42
55	18
55	12
55	2
56	30
56	18
56	4
57	55
57	29
57	4
58	16
58	2
58	8
59	5
59	2
59	50
60	22
60	33
60	11
61	14
61	19
61	1
62	37
62	12
62	50
63	24
63	11
63	4
64	39
64	8
64	28
65	1
65	27
65	4
66	52
66	4
66	45
67	32
67	17
67	25
68	4
68	3
68	32
69	8
69	13
69	15
70	42
70	20
70	34
71	2
71	6
71	57
72	2
72	3
72	10
73	4
73	7
73	19
74	4
74	21
74	23
75	1
75	16
75	45
76	14
76	24
76	60
77	19
77	12
77	1
78	48
78	13
78	43
79	2
79	14
79	11
80	5
80	14
80	4
81	9
81	4
81	5
82	14
82	4
82	9
83	15
83	1
83	5
84	7
84	73
84	43
85	51
85	2
85	41
86	40
86	11
86	14
87	72
87	77
87	14
88	86
88	31
88	72
89	4
89	29
89	6
90	20
90	37
90	25
91	32
91	71
91	12
92	45
92	11
92	21
93	1
93	82
93	26
94	11
94	50
94	24
95	1
95	40
95	4
96	50
96	12
96	14
97	69
97	34
97	54
98	4
98	23
98	50
99	37
99	63
99	89
100	18
100	93
100	98
101	3
101	25
101	89
102	3
102	92
102	18
103	59
103	48
103	4
104	100
104	26
104	11
105	2
105	95
105	44
106	80
106	68
106	49
107	57
107	50
107	47
108	64
108	27
108	18
109	11
109	2
109	13
110	36
110	24
110	33
111	87
111	2
111	26
112	9
112	29
112	15
113	101
113	44
113	11
114	2
114	4
114	113
115	8
115	84
115	19
116	64
116	79
116	23
117	18
117	104
117	2
118	2
118	11
118	6
119	1
119	23
119	30
120	11
120	6
120	106
121	1
121	5
121	60
122	69
122	4
122	18
123	50
123	5
123	8
124	19
124	8
124	74
125	1
125	14
125	18
126	109
126	5
126	4
127	94
127	10
127	53
128	111
128	2
128	49
129	4
129	12
129	96
130	5
130	119
130	22
131	73
131	104
131	64
132	1
132	30
132	14
133	6
133	82
133	66
134	48
134	15
134	32
135	106
135	32
135	84
136	18
136	50
136	41
137	73
137	1
137	7
138	121
138	56
138	66
139	56
139	39
139	119
140	71
140	4
140	108
141	2
141	114
141	84
142	126
142	32
142	11
143	1
143	3
143	27
144	91
144	64
144	6
145	29
145	91
145	58
146	4
146	11
146	71
147	28
147	1
